seed,missing_rate,statistic,value
5,0.0,pi,32.153535353535354
5,0.0,theta_w,36.698115861294475
5,0.0,theta_h,25.422222222222224
5,0.0,theta_l,28.78787878787879
5,0.0,tajimas_d,-0.41488057866369765
5,0.05,pi,32.29760532968886
5,0.05,theta_w,37.05297408707517
5,0.05,theta_h,25.629720082893453
5,0.05,theta_l,28.963662706291156
5,0.05,tajimas_d,-0.4318938248796739
5,0.1,pi,32.243421628145285
5,0.1,theta_w,37.069657072447136
5,0.1,theta_h,25.37579594635375
5,0.1,theta_l,28.809608787249516
5,0.1,tajimas_d,-0.4404947914662307
5,0.2,pi,32.143799653962944
5,0.2,theta_w,35.69083892091471
5,0.2,theta_h,25.544853472347757
5,0.2,theta_l,28.84432656315535
5,0.2,tajimas_d,-0.3393795596575225
5,0.3,pi,32.04004344923002
5,0.3,theta_w,36.40407038294897
5,0.3,theta_h,25.49736288670715
5,0.3,theta_l,28.76870316796859
5,0.3,tajimas_d,-0.41590944733131646
5,0.4,pi,31.876448736909907
5,0.4,theta_w,35.98073916125314
5,0.4,theta_h,25.471999413929993
5,0.4,theta_l,28.67422407541995
5,0.4,tajimas_d,-0.4013322889183252
5,0.5,pi,31.669308093222117
5,0.5,theta_w,34.77775942226235
5,0.5,theta_h,25.613020017198814
5,0.5,theta_l,28.641164055210464
5,0.5,tajimas_d,-0.3207791055428346
5,0.6,pi,32.10559246636748
5,0.6,theta_w,36.73881074018321
5,0.6,theta_h,25.484719689607903
5,0.6,theta_l,28.795156077987695
5,0.6,tajimas_d,-0.46602930701040857
6,0.0,pi,34.82040404040404
6,0.0,theta_w,36.11867192664246
6,0.0,theta_h,26.41191919191919
6,0.0,theta_l,30.61616161616162
6,0.0,tajimas_d,-0.12038343313812684
6,0.05,pi,34.981114427980046
6,0.05,theta_w,36.48540015956398
6,0.05,theta_h,26.648637464439798
6,0.05,theta_l,30.814875946209924
6,0.05,tajimas_d,-0.13877076368208
6,0.1,pi,34.729913142022724
6,0.1,theta_w,36.48285930772659
6,0.1,theta_h,26.353652735543232
6,0.1,theta_l,30.541782938782973
6,0.1,tajimas_d,-0.16253571788056484
6,0.2,pi,34.87263825442351
6,0.2,theta_w,36.975414374228436
6,0.2,theta_h,26.11909756453437
6,0.2,theta_l,30.49586790947894
6,0.2,tajimas_d,-0.19472525270207106
6,0.3,pi,34.88131855121363
6,0.3,theta_w,37.16550462601084
6,0.3,theta_h,25.832249271079434
6,0.3,theta_l,30.356783911146536
6,0.3,tajimas_d,-0.21323470429263644
6,0.4,pi,35.07067230187717
6,0.4,theta_w,37.97024622806932
6,0.4,theta_h,27.068654934196324
6,0.4,theta_l,31.06966361803675
6,0.4,tajimas_d,-0.26938205679241883
6,0.5,pi,35.33418545437861
6,0.5,theta_w,37.92909215707034
6,0.5,theta_h,26.32792725370103
6,0.5,theta_l,30.83105635403982
6,0.5,tajimas_d,-0.2461335732981192
6,0.6,pi,35.364834271096406
6,0.6,theta_w,36.92000759192403
6,0.6,theta_h,27.74991335519332
6,0.6,theta_l,31.557373813144867
6,0.6,tajimas_d,-0.15585426404505387
7,0.0,pi,49.529292929292936
7,0.0,theta_w,45.1966269028574
7,0.0,theta_h,41.096969696969694
7,0.0,theta_l,45.313131313131315
7,0.0,tajimas_d,0.3223716180662925
7,0.05,pi,49.63242118487692
7,0.05,theta_w,45.27319912548203
7,0.05,theta_h,40.79779126051196
7,0.05,theta_l,45.215106222694445
7,0.05,tajimas_d,0.3254026364153631
7,0.1,pi,49.69044098611617
7,0.1,theta_w,44.78532180463144
7,0.1,theta_h,41.15585111495524
7,0.1,theta_l,45.42314605053571
7,0.1,tajimas_d,0.37203431937554476
7,0.2,pi,49.84457903384959
7,0.2,theta_w,46.433500447781014
7,0.2,theta_h,41.168915924201904
7,0.2,theta_l,45.50674747902575
7,0.2,tajimas_d,0.25233919270554417
7,0.3,pi,48.867610203676286
7,0.3,theta_w,44.57651457694116
7,0.3,theta_h,42.81964374673914
7,0.3,theta_l,45.84362697520772
7,0.3,tajimas_d,0.3345899684318642
7,0.4,pi,49.37902734133294
7,0.4,theta_w,45.83900187677222
7,0.4,theta_h,41.010184818564944
7,0.4,theta_l,45.19460607994894
7,0.4,tajimas_d,0.2728989995836428
7,0.5,pi,49.44592058403246
7,0.5,theta_w,46.23129981509057
7,0.5,theta_h,42.743123415126895
7,0.5,theta_l,46.094521999579676
7,0.5,tajimas_d,0.2519037432992642
7,0.6,pi,48.85219829114019
7,0.6,theta_w,46.95723832552201
7,0.6,theta_h,42.86406611286421
7,0.6,theta_l,45.8581322020022
7,0.6,tajimas_d,0.1500106243009102
8,0.0,pi,48.04383838383839
8,0.0,theta_w,40.56107542564126
8,0.0,theta_h,42.360202020202024
8,0.0,theta_l,45.2020202020202
8,0.0,tajimas_d,0.6192299347892137
8,0.05,pi,48.161893903842085
8,0.05,theta_w,40.58295353868989
8,0.05,theta_h,42.11145841046765
8,0.05,theta_l,45.13667615715486
8,0.05,tajimas_d,0.6298437863121799
8,0.1,pi,47.80361306461937
8,0.1,theta_w,41.0234580047684
8,0.1,theta_h,42.43835103639326
8,0.1,theta_l,45.120982050506306
8,0.1,tajimas_d,0.5603862024335667
8,0.2,pi,48.017659728205594
8,0.2,theta_w,41.60759288866323
8,0.2,theta_h,42.494725809750655
8,0.2,theta_l,45.256192768978124
8,0.2,tajimas_d,0.5284755484607719
8,0.3,pi,48.192192271941906
8,0.3,theta_w,41.47176086390419
8,0.3,theta_h,43.61030380149332
8,0.3,theta_l,45.90124803671761
8,0.3,tajimas_d,0.5626337748378932
8,0.4,pi,47.61956784186816
8,0.4,theta_w,42.45078022845763
8,0.4,theta_h,43.84176142782208
8,0.4,theta_l,45.73066463484513
8,0.4,tajimas_d,0.43012030590319955
8,0.5,pi,48.3252925280995
8,0.5,theta_w,43.51344655073696
8,0.5,theta_h,42.09340519782717
8,0.5,theta_l,45.20934886296334
8,0.5,tajimas_d,0.39883707965551773
8,0.6,pi,48.897520379357786
8,0.6,theta_w,45.433809269609796
8,0.6,theta_h,43.45340344537833
8,0.6,theta_l,46.17546191236806
8,0.6,tajimas_d,0.2840450384931369
9,0.0,pi,36.92080808080808
9,0.0,theta_w,40.94737138207594
9,0.0,theta_h,42.351919191919194
9,0.0,theta_l,39.63636363636363
9,0.0,tajimas_d,-0.3301278267650836
9,0.05,pi,36.921116451155974
9,0.05,theta_w,40.58163029578431
9,0.05,theta_h,42.51513668298549
9,0.05,theta_l,39.71812656707073
9,0.05,tajimas_d,-0.3042050456485636
9,0.1,pi,36.92351486010686
9,0.1,theta_w,41.03138190484452
9,0.1,theta_h,42.32075265440157
9,0.1,theta_l,39.622133757254204
9,0.1,tajimas_d,-0.3395190807558219
9,0.2,pi,36.974613755503285
9,0.2,theta_w,40.31913627160699
9,0.2,theta_h,43.17140013326111
9,0.2,theta_l,40.073006944382186
9,0.2,tajimas_d,-0.2838616574572353
9,0.3,pi,36.891711462380165
9,0.3,theta_w,40.28267238803149
9,0.3,theta_h,42.69042010757766
9,0.3,theta_l,39.79106578497891
9,0.3,tajimas_d,-0.2925146177511599
9,0.4,pi,36.415559755794455
9,0.4,theta_w,39.916520212712456
9,0.4,theta_h,42.472079036395755
9,0.4,theta_l,39.44381939609511
9,0.4,tajimas_d,-0.30925613599542395
9,0.5,pi,36.79747353995766
9,0.5,theta_w,39.86897361772428
9,0.5,theta_h,43.30336157760681
9,0.5,theta_l,40.05041755878223
9,0.5,tajimas_d,-0.2778909774499603
9,0.6,pi,36.61122298135348
9,0.6,theta_w,38.58280619377032
9,0.6,theta_h,42.12657836023457
9,0.6,theta_l,39.36890067079402
9,0.6,tajimas_d,-0.18880497401678653
10,0.0,pi,39.6359595959596
10,0.0,theta_w,39.981631490989244
10,0.0,theta_h,55.35393939393939
10,0.0,theta_l,47.494949494949495
10,0.0,tajimas_d,-0.029012758028073363
10,0.05,pi,39.79261891840679
10,0.05,theta_w,40.178409939931385
10,0.05,theta_h,55.306756339666684
10,0.05,theta_l,47.54968762903674
10,0.05,tajimas_d,-0.03236655705853553
10,0.1,pi,39.80724180687787
10,0.1,theta_w,40.013413403664245
10,0.1,theta_h,55.436258937570734
10,0.1,theta_l,47.62175037222429
10,0.1,tajimas_d,-0.017452336349807814
10,0.2,pi,40.27182593876584
10,0.2,theta_w,40.23877458503272
