start,stop,pi,theta_w,segregating_sites,singletons,max_daf,tajimas_d
15400185,15500185,0.0011576498864988897,0.004515203757631877,542.0,250.0,0.995,-2.385985454625047
15500185,15600185,0.0005642710497860139,0.0023317062424079893,464.0,219.0,0.97,-2.428741060991578
15600185,15700185,0.0013561603177685503,0.004823331226778902,541.0,235.0,0.99,-2.3064476178495315
15700185,15800185,0.001064888543188954,0.0037075554940679436,534.0,226.0,0.995,-2.286769771470145
15800185,15900185,0.0008885233508349106,0.003521694482069183,559.0,244.0,0.985,-2.399718012296601
15900185,16000185,0.0005583535731422618,0.001992980236098016,437.0,205.0,0.99,-2.3050791183893544
16000185,16100185,0.001178336050736762,0.00474411003535918,586.0,282.0,0.96,-2.413206592381124
16100185,16200185,0.001009231044378889,0.003575640819652197,557.0,263.0,0.975,-2.303521381427418
16200185,16300185,0.0007891321534765181,0.0028748552039279704,550.0,250.0,0.995,-2.3281756096921384
16300185,16400185,0.0009835402524873396,0.003899681264573975,560.0,285.0,0.9,-2.4000401835398493
16400185,16500185,0.000626813009214684,0.00218681744451646,507.0,218.0,0.995,-2.287623242559909
16500185,16600185,0.0008264839157060014,0.003131305745763914,539.0,269.0,0.92,-2.3616405389530377
16600185,16700185,0.0010722404085606934,0.0043168456272681035,501.0,246.0,0.99,-2.4100165813352197
16700185,16800185,0.0009866583150331136,0.004246445047819786,505.0,245.0,0.99,-2.461611400876347
16800185,16900185,0.00036115080677117317,0.0013819992489933135,404.0,166.0,0.995,-2.3633969754730906
16900185,17000185,0.00034464192885610306,0.001251892016869795,400.0,185.0,0.99,-2.31843457609394
17000185,17100185,0.0005722957878698167,0.0021149890004125275,480.0,238.0,0.99,-2.337891142997681
17100185,17200185,0.0006924003130304276,0.002754588563715434,471.0,224.0,0.965,-2.399087561342124
17200185,17300185,0.00043623350332864147,0.0017348830710107108,359.0,170.0,0.99,-2.3916499832761695
17300185,17400185,0.0006544209387127682,0.0023622046321372715,445.0,200.0,0.99,-2.3155068477771663
17400185,17500185,0.0008502839838102309,0.0030671029313569425,437.0,207.0,0.995,-2.3144713227952742
17500185,17600185,0.0007761231251952487,0.003221260428625025,430.0,218.0,0.94,-2.430268229715095
17600185,17700185,0.000716512451266806,0.0031740937331287285,477.0,225.0,0.98,-2.4815052504643513
17700185,17800185,0.0011726528616419838,0.004418847772325246,475.0,230.0,0.875,-2.3543728738392744
17800185,17900185,0.0009023906907176624,0.0033345812501078256,469.0,212.0,0.995,-2.337292263840903
17900185,18000185,0.0010043585788159742,0.0040041259726489,445.0,220.0,0.99,-2.399443743374947
18000185,18100185,0.0009753603493927866,0.0035380960796042573,425.0,210.0,0.975,-2.318768003787413
18100185,18200185,0.0009629185231323711,0.003392195509351347,406.0,186.0,0.995,-2.2914124927905912
18200185,18300185,0.0013560027963608755,0.005497849614054741,538.0,268.0,0.995,-2.4171093045577505
18300185,18400185,0.0008196492285142417,0.003047852493277414,461.0,203.0,0.98,-2.3423125388033013
18400185,18500185,0.0022963746518516377,0.007255816756298054,465.0,203.0,0.985,-2.19011632685454
18500185,18600185,0.0019602393729568064,0.005583955231393046,479.0,179.0,0.985,-2.079967182958274
18600185,18700185,0.0005390300299472915,0.0012888635291822474,341.0,138.0,0.97,-1.8575757158112387
18700185,18800185,0.0,0.0,0.0,0.0,0.0,
18800185,18900185,7.2008976749746476e-06,3.272300160902591e-05,19.0,16.0,0.49,-2.0703643484279484
18900185,19000185,0.0005692929546626689,0.0012749124291620705,314.0,102.0,0.99,-1.765172321547953
19000185,19100185,0.0014623284306184321,0.004456004918213727,530.0,217.0,0.985,-2.1552567781785656
19100185,19200185,0.0016453758694238338,0.00569203819951221,475.0,205.0,0.945,-2.2784465973746832
19200185,19300185,0.0003651067839195972,0.001299960030189051,365.0,166.0,0.995,-2.2981523895111904
19300185,19400185,0.0014755383306592914,0.004741261164502965,502.0,222.0,0.98,-2.2086045333267688
19400185,19500185,0.0010675546136045399,0.003666764664603524,578.0,273.0,0.97,-2.275658901980776
19500185,19600185,0.0006420898294822614,0.002775996446982749,743.0,343.0,0.985,-2.472093592269946
19600185,19700185,0.0008089754594329396,0.003554817492907782,600.0,304.0,0.995,-2.480460401561155
19700185,19800185,0.0009237740077702888,0.003977319885833918,569.0,289.0,0.985,-2.464386118813228
19800185,19900185,0.0008695413907296246,0.003702027473219332,632.0,310.0,0.99,-2.4579265952049525
19900185,20000185,0.0012560584927170746,0.004702742013686268,523.0,252.0,0.995,-2.3509332900630557
20000185,20100185,0.0006230169442252605,0.0024933624853460614,567.0,244.0,0.98,-2.407792308680147
20100185,20200185,0.0008990501998639417,0.003423695727661202,464.0,234.0,0.965,-2.3627447189730524
20200185,20300185,0.0007374661624570379,0.0025640362283087938,489.0,222.0,0.995,-2.283707364108243
20300185,20400185,0.0005706893023394386,0.0025026397704481554,471.0,246.0,0.985,-2.473843243303775
20400185,20500185,0.0006811410039913001,0.0023228405653328756,496.0,223.0,0.98,-2.2659971355774213
20500185,20600185,0.0010101167784113967,0.0034052596317084684,497.0,221.0,0.985,-2.2551438650766893
20600185,20700185,0.000706093031718766,0.002742631765035914,484.0,230.0,0.995,-2.380191370504534
20700185,20800185,0.0008344838568363033,0.00300913073645417,551.0,246.0,0.995,-2.3191522819576185
20800185,20900185,0.00140252674663641,0.004745423482613655,470.0,218.0,0.985,-2.2574265780082072
20900185,21000185,0.00089458055779989,0.003575127779619083,511.0,235.0,0.995,-2.404548250257795
21000185,21100185,0.0005388876585526613,0.0017359474865202955,437.0,199.0,0.995,-2.2081532125019656
21100185,21200185,0.0009407533075184907,0.0037670317082845383,535.0,252.0,0.985,-2.4070783808645624
21200185,21300185,0.0009128704569074914,0.0030296143207257493,550.0,247.0,0.98,-2.242105451442313
21300185,21400185,0.0005373418531626035,0.0021544231294916083,459.0,227.0,0.98,-2.404729597331988
21400185,21500185,0.0007625768570002618,0.003174202811969169,522.0,228.0,0.62,-2.437014498745139
21500185,21600185,0.0012026382607728723,0.004507724579617927,524.0,239.0,0.99,-2.3519207063170993
21600185,21700185,0.001767322093857494,0.006370466672196226,375.0,192.0,0.995,-2.309891981830292
21700185,21800185,0.0015010173675394545,0.0058668412707579215,491.0,221.0,0.985,-2.3856489786370245
21800185,21900185,0.0004904171821742116,0.002186935438918821,485.0,244.0,0.995,-2.4866671704584964
21900185,22000185,0.00141476755312693,0.005430544717181918,610.0,284.0,0.83,-2.3749486787338316
22000185,22100185,0.0011004411466745256,0.0040689811706161325,454.0,221.0,0.995,-2.3370902093394554
22100185,22200185,0.001005757356334908,0.0036433706052540786,489.0,228.0,0.935,-2.3207910394401345
22200185,22300185,0.0015106856100715067,0.004930658378591981,441.0,206.0,0.995,-2.221306177833803
22300185,22400185,0.0012794885461236214,0.004130510514526598,454.0,222.0,0.985,-2.21113408396815
22400185,22500185,0.0009315192077353795,0.0035729619637949734,432.0,204.0,0.985,-2.367068036659373
22500185,22600185,0.0011582838888791606,0.004535567584887006,451.0,211.0,0.99,-2.3852030601488186
22600185,22700185,0.0012352768730641624,0.004585254620772243,529.0,225.0,0.965,-2.3437498151342866
22700185,22800185,0.0008009613451726222,0.002833141366555031,433.0,182.0,0.98,-2.2966898857265825
22800185,22900185,0.0015825725040864652,0.00589350241877605,450.0,212.0,0.935,-2.343026886726114
22900185,23000185,0.0008299438582201909,0.0031602179608906855,513.0,246.0,0.88,-2.3648663441705606
23000185,23100185,0.001198506851135966,0.0047083068142749806,507.0,242.0,0.8,-2.390500320972883
23100185,23200185,0.00106534427894447,0.0041770252685755915,503.0,238.0,0.565,-2.3887366686204174
23200185,23300185,0.0007074542179509974,0.0030100736572974854,510.0,231.0,0.985,-2.4532346443685538
23300185,23400185,0.0008236329842472616,0.0031592900438087157,457.0,207.0,0.845,-2.3684610169173377
23400185,23500185,0.0008137647568897343,0.0032487820704545597,502.0,226.0,0.975,-2.4033332149948254
23500185,23600185,0.000961949071677153,0.003366679846059539,560.0,260.0,0.995,-2.292470450470388
23600185,23700185,8.482529068428582e-05,0.0002973500926831659,141.0,79.0,0.89,-2.2405664598162476
23700185,23800185,0.0002373552647902787,0.00097266276213119,289.0,150.0,0.995,-2.408062015487626
23800185,23900185,0.0016739584365936954,0.005641210963857968,524.0,252.0,0.975,-2.255873519636952
23900185,24000185,0.0004580078616526266,0.001964547804241437,508.0,255.0,0.995,-2.459217225441341
24000185,24100185,0.0005666778555324981,0.0023002794857216024,468.0,231.0,0.935,-2.414996295739483
24100185,24200185,0.0008098947448119242,0.0032101303502316517,483.0,218.0,0.96,-2.3966769187934336
24200185,24300185,0.0007173337252628272,0.002927864587744019,555.0,268.0,0.95,-2.422997516884725
24300185,24400185,0.000753054575855623,0.003199868717557447,591.0,297.0,0.985,-2.4552333026289355
24400185,24500185,0.0012571265272789433,0.005097368872744082,518.0,245.0,0.995,-2.4163857260818573
24500185,24600185,0.001214670627347317,0.003922138398259972,480.0,213.0,0.995,-2.2125505981998894
24600185,24700185,0.0014892073366458763,0.004706749218479683,444.0,202.0,0.99,-2.189394042414199
24700185,24800185,0.0012569428885403661,0.004455574722650175,493.0,195.0,0.98,-2.301555498164614
24800185,24900185,0.0003583032507605865,0.0012675018754138448,406.0,158.0,0.97,-2.29518277023367
24900185,25000185,0.0009171006424938625,0.003007390069896114,525.0,247.0,0.995,-2.2295697691013245
25000185,25100185,0.002171235104337907,0.006251952164439712,375.0,146.0,0.905,-2.0865516559103114
25100185,25200185,0.0009200063002173991,0.0032157169539005813,473.0,185.0,0.99,-2.287870929892196
25200185,25300185,0.0003243172576105649,0.0014596240578501531,545.0,263.0,0.965,-2.4958265796450636
25300185,25400185,0.0007095350949045135,0.002981738556329964,451.0,213.0,0.96,-2.4409962552619295
25400185,25500185,0.0018153399797907835,0.00595303067641827,362.0,156.0,0.85,-2.2209607691821738
25500185,25600185,0.0016860014952508086,0.005433392937220671,385.0,153.0,0.985,-2.20547345207643
25600185,25700185,0.0011304710106872025,0.004080401139844693,446.0,199.0,0.995,-2.3155250886051943
25700185,25800185,0.0009392277195931665,0.0031873605889006775,433.0,187.0,0.925,-2.258391354727781
25800185,25900185,0.0019279383920265515,0.006866370539533721,425.0,175.0,0.965,-2.3024221373394953
25900185,26000185,0.0011605374315226454,0.004633511129255531,396.0,176.0,0.86,-2.397598702143062
26000185,26100185,0.0013270680001586117,0.005192125447759409,456.0,194.0,0.995,-2.3847782873062946
26100185,26200185,0.001223693345415237,0.0043685717707988205,460.0,191.0,0.995,-2.3064237339079
26200185,26300185,0.0011621679749330785,0.003355574287063015,361.0,147.0,0.885,-2.0886143380211126
26300185,26400185,0.0016745414176045606,0.005340309893459866,422.0,176.0,0.975,-2.1972974249412247
26400185,26500185,0.001134743066793059,0.004342241875301072,499.0,227.0,0.975,-2.368434776183108
26500185,26600185,0.0011929325142279324,0.0043809826518313695,469.0,191.0,0.585,-2.3319022229978894
26600185,26700185,0.00046973593628507864,0.0017786257706310614,331.0,151.0,0.985,-2.348736217625491
26700185,26800185,0.0015730354945291732,0.005049883990600755,478.0,191.0,0.99,-2.2066835013376833
26800185,26900185,0.0005624927711775661,0.0019234831567346367,347.0,137.0,0.985,-2.2597183024968004
26900185,27000185,0.0010588099556011563,0.0031443611363741646,411.0,159.0,0.9,-2.1225322611869175
