window_start,window_stop,n_variants,fst,fst_wc,dxy,da
1850185.0,1950185.0,1087,0.020019728019427523,0.02001972801942752,0.0018388966318234612,3.681421042494725e-05
1860185.0,1960185.0,1072,0.019604482329310783,0.01960448232931078,0.0031028529357629304,6.08298255496146e-05
1870185.0,1970185.0,1080,0.02029505624858666,0.020295056248586664,0.0030957944779667216,6.282932306439918e-05
1880185.0,1980185.0,1092,0.021933780354954618,0.021933780354954614,0.002949266913972796,6.468857269921421e-05
1890185.0,1990185.0,1106,0.021934569227233296,0.021934569227233296,0.0030559563907108667,6.703108700745336e-05
1900185.0,2000185.0,1081,0.022848293266431924,0.022848293266431927,0.002978532028469751,6.80543732899374e-05
1910185.0,2010185.0,1077,0.022906155547362427,0.02290615554736243,0.0032481402664692825,7.440240618339678e-05
1920185.0,2020185.0,1074,0.021216446379126425,0.021216446379126428,0.002829232846251588,6.002626697655971e-05
1930185.0,2030185.0,1152,0.018318237533000617,0.018318237533000624,0.002403454974330512,4.402705911965841e-05
1940185.0,2040185.0,1102,0.01601207083888124,0.01601207083888125,0.0023595280075952804,3.778092960394008e-05
1950185.0,2050185.0,1098,0.016867455467010996,0.016867455467010996,0.00219443407960199,3.701451911297748e-05
1960185.0,2060185.0,1084,0.0156869667319625,0.015686966731962494,0.0020132352941176473,3.158155508243642e-05
1970185.0,2070185.0,1053,0.012671028715906548,0.012671028715906535,0.001995459190190318,2.5284520700321155e-05
1980185.0,2080185.0,1048,0.01074069918971447,0.01074069918971446,0.0019841707569103594,2.1311381241002234e-05
1990185.0,2090185.0,1048,0.01115402510841557,0.011154025108415557,0.0019092173017507723,2.1295457721149247e-05
2000185.0,2100185.0,1057,0.011402718467338278,0.011402718467338268,0.00204229381443299,2.3287701393566036e-05
2010185.0,2110185.0,1065,0.014218001925906398,0.014218001925906385,0.0019834255881242924,2.8200348831843393e-05
2020185.0,2120185.0,1060,0.013979917964287745,0.013979917964287736,0.0023079008467631794,3.2264264507459767e-05
2030185.0,2130185.0,1050,0.015329099747438419,0.015329099747438416,0.002456031416716064,3.764875056968276e-05
2040185.0,2140185.0,1116,0.01698481496407296,0.016984814964072958,0.0019880694143167028,3.376699113790176e-05
2050185.0,2150185.0,1159,0.015052474408617053,0.015052474408617055,0.002327630133977597,3.50365930244237e-05
2060185.0,2160185.0,1158,0.013812555826817023,0.01381255582681703,0.0017534685598377283,2.4219882373326762e-05
2070185.0,2170185.0,1232,0.014736533599063663,0.01473653359906367,0.0014000287154616808,2.063157020505498e-05
2080185.0,2180185.0,1299,0.014167122738533138,0.014167122738533149,0.0010136446015132981,1.4360427482890482e-05
2090185.0,2190185.0,1389,0.014509900380683997,0.01450990038068401,0.0008915561415246566,1.2936390797309851e-05
2100185.0,2200185.0,1451,0.013953083774831197,0.013953083774831213,0.0008726941838649156,1.217677505727512e-05
2110185.0,2210185.0,1496,0.013602378557426516,0.013602378557426523,0.0008279466244649857,1.1262043411316034e-05
2120185.0,2220185.0,1496,0.01397780057580727,0.013977800575807279,0.0006458635469571089,9.027751858550047e-06
